fixture_id,match_date,home_team,away_team,home_goals,away_goals,result,data_kind,disclaimer
SYN-0033,2032-02-04,Ivory Foxes,Jade Harriers,1,3,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0034,2032-02-05,Ivory Foxes,Silver Pines,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0035,2032-02-06,Ivory Foxes,Violet Sparks,0,2,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0036,2032-02-07,Jade Harriers,Amber Owls,2,2,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0037,2032-02-08,Jade Harriers,Azure Rovers,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0038,2032-02-09,Jade Harriers,Copper Comets,1,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0039,2032-02-10,Jade Harriers,Golden Kites,2,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0040,2032-02-11,Jade Harriers,Ivory Foxes,2,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0041,2032-02-12,Jade Harriers,Silver Pines,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0042,2032-02-13,Jade Harriers,Violet Sparks,1,3,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0043,2032-02-14,Silver Pines,Amber Owls,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0044,2032-02-15,Silver Pines,Azure Rovers,4,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0045,2032-02-16,Silver Pines,Copper Comets,2,2,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0046,2032-02-17,Silver Pines,Golden Kites,2,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0047,2032-02-18,Silver Pines,Ivory Foxes,0,2,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0048,2032-02-19,Silver Pines,Jade Harriers,3,2,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0049,2032-02-20,Silver Pines,Violet Sparks,0,1,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0050,2032-02-21,Violet Sparks,Amber Owls,2,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0051,2032-02-22,Violet Sparks,Azure Rovers,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0052,2032-02-23,Violet Sparks,Copper Comets,0,0,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0053,2032-02-24,Violet Sparks,Golden Kites,1,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0054,2032-02-25,Violet Sparks,Ivory Foxes,2,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0055,2032-02-26,Violet Sparks,Jade Harriers,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0056,2032-02-27,Violet Sparks,Silver Pines,0,1,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0057,2032-02-28,Amber Owls,Azure Rovers,1,3,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0058,2032-02-29,Amber Owls,Copper Comets,3,2,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0059,2032-03-01,Amber Owls,Golden Kites,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0060,2032-03-02,Amber Owls,Ivory Foxes,2,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0061,2032-03-03,Amber Owls,Jade Harriers,2,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0062,2032-03-04,Amber Owls,Silver Pines,3,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0063,2032-03-05,Amber Owls,Violet Sparks,0,2,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0064,2032-03-06,Azure Rovers,Amber Owls,0,0,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0065,2032-03-07,Azure Rovers,Copper Comets,3,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0066,2032-03-08,Azure Rovers,Golden Kites,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0067,2032-03-09,Azure Rovers,Ivory Foxes,2,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0068,2032-03-10,Azure Rovers,Jade Harriers,0,0,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0069,2032-03-11,Azure Rovers,Silver Pines,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0070,2032-03-12,Azure Rovers,Violet Sparks,2,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0071,2032-03-13,Copper Comets,Amber Owls,4,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0072,2032-03-14,Copper Comets,Azure Rovers,1,3,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0073,2032-03-15,Copper Comets,Golden Kites,1,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0074,2032-03-16,Copper Comets,Ivory Foxes,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0075,2032-03-17,Copper Comets,Jade Harriers,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0076,2032-03-18,Copper Comets,Silver Pines,1,2,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0077,2032-03-19,Copper Comets,Violet Sparks,0,0,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0078,2032-03-20,Golden Kites,Amber Owls,0,0,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0079,2032-03-21,Golden Kites,Azure Rovers,1,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0080,2032-03-22,Golden Kites,Copper Comets,2,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0081,2032-03-23,Golden Kites,Ivory Foxes,4,2,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0082,2032-03-24,Golden Kites,Jade Harriers,1,2,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0083,2032-03-25,Golden Kites,Silver Pines,3,3,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0084,2032-03-26,Golden Kites,Violet Sparks,1,2,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0085,2032-03-27,Ivory Foxes,Amber Owls,2,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0086,2032-03-28,Ivory Foxes,Azure Rovers,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0087,2032-03-29,Ivory Foxes,Copper Comets,3,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0088,2032-03-30,Ivory Foxes,Golden Kites,0,1,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0089,2032-03-31,Ivory Foxes,Jade Harriers,0,0,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0090,2032-04-01,Ivory Foxes,Silver Pines,1,2,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0091,2032-04-02,Ivory Foxes,Violet Sparks,0,2,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0092,2032-04-03,Jade Harriers,Amber Owls,0,1,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0093,2032-04-04,Jade Harriers,Azure Rovers,2,0,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0094,2032-04-05,Jade Harriers,Copper Comets,4,1,H,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0095,2032-04-06,Jade Harriers,Golden Kites,0,2,A,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
SYN-0096,2032-04-07,Jade Harriers,Ivory Foxes,1,1,D,synthetic,Synthetic demonstration — not evidence of real-world predictive performance.
